id,createTime,collectCount,commentCount,diggCount,playCount,shareCount,desc
7330219946762439941,1706699832,774,64,11100,173000,1084,有道理🤣 | 感謝 IG sulli_km 授權 | #即新聞 #情侶 #男友 #掛睡 
7330164932610100485,1706687024,32,7,522,13900,51,吸油面紙這發想也太酷啦！ | 感謝 IG readingsteiner_ 授權 | #即新聞 #進擊的巨人 #吸油面紙 #創意 
7330105355642490118,1706673152,8,0,152,3154,3,拒絕總是如此突然 | 感謝 IG popo12_04 授權 | #即新聞 #柴犬 #拒否柴 #散步 
7329724358304337153,1706605200,121,30,1452,36700,250,眼睛快要掉出來了啦XDDD｜感謝@babypp0978  授權｜#即新聞 #寵物 #歐告 #狗狗 #貪吃
7329724145392995586,1706590800,1168,73,13700,249300,1365,我嚇我自己，是個狠人｜感謝 IG will__yin 授權｜#即新聞 #搞笑
7329723635936021761,1706584279,89,13,1793,70900,158,這保溫應該會熱騰騰的吧🤣｜感謝 IG vespa_changhua 授權｜#即新聞 #機車
7329460326351588616,1706580000,11,5,222,12800,16,員警攔查四海幫海雲堂前堂主，他一下車便飄散出濃濃酒氣，並在路邊大鬧，要求員警對他酒測要「公平公正喔」，並向員警嗆聲，又高舉雙手一下向上天祈求貌，一下雙手合十趴在引擎蓋上，「拜天拜地」盧了半天才配合酒測，但因他多次酒測不成功，面對員警要求他再吹一次，他憤怒直吼，「我已經吹3次了！」最終酒測值出爐，酒精濃度竟高達每公升1.01毫克，他謊稱要上車拿手機，上車後卻拒不下車，逼得員警只得實施強制力將他拉下車逮捕，並告知其相關權利 #即新聞 #酒測 #酒駕 #警察
7329411294765894913,1706572800,73,34,1982,86600,89,這個鬼蹭...我到底看了什麼 #即新聞 #小偷
7329459501197774087,1706536800,6,0,102,6013,3,藝人炎亞綸現身士林地院，庭後他接受媒體訪問表示，兩項指控已獲不起訴，提醒媒體及網友「未來要斟酌用字」 #即新聞  #炎亞綸
